WL1A	Aleksandrów Kuj.
SU1A	Augustów
OL1Y	Bartoszyce
PT1B	Bełchatów
KA1B	Będzin
LU1B	Biała Podlaska
RA2G	Białobrzegi
KO1B	Białogard
BI1B	Białystok
BI1P	Bielsk Podlaski
BB1B	Bielsko-Biała
ZA1B	Biłgoraj
OL1B	Biskupiec
TR1O	Bochnia
JG1B	Bolesławiec
EL1B	Braniewo
TO1B	Brodnica
OP1B	Brzeg
TR1B	Brzesko
LD1B	Brzeziny
KS1B	Brzozów
KI1B	Busko Zdrój
BY1B	Bydgoszcz
KA1Y	Bytom
SL1B	Bytów
LU1C	Chełm
TO1C	Chełmno
PO1H	Chodzież
SL1C	Chojnice
KA1C	Chorzów
SZ1C	Choszczno
KR1C	Chrzanów
PL1C	Ciechanów
BB1C	Cieszyn
PO2T	Czarnków
KR1K	Czernichów
CZ1C	Częstochowa
SL1Z	Człuchów
KA1D	Dąbrowa Górn.
TR1D	Dąbrowa Tarn.
RZ1D	Dębica
KR2Y	Dobczyce
KO1D	Drawsko Pom.
EL1D	Działdowo
SW1D	Dzierżoniów
EL1E	Elbląg
OL1E	Ełk
SI1G	Garwolin
GD1G	Gdańsk
GD1Y	Gdynia
OL1G	Giżycko
GL1G	Gliwice
LE1G	Głogów
OP1G	Głubczyce
PO1G	Gniezno
SZ1O	Goleniów
TO1G	Golub-Dobrzyń
NS1G	Gorlice
GW1G	Gorzów Wlkp.
PL1G	Gostynin
PO1Y	Gostyń
LM1G	Grajewo
WA1G	Grodzisk Maz.
PO1S	Grodzisk Wlkp.
RA1G	Grójec
TO1U	Grudziądz
SZ1G	Gryfice
SZ1Y	Gryfino
ZG2K	Gubin
BI2P	Hajnówka
ZA1H	Hrubieszów
EL1I	Iława
BY1I	Inowrocław
ZA1J	Janów Lubelski
KZ1J	Jarocin
PR1J	Jarosław
KS1J	Jasło
GL1J	Jastrzębie-Zdrój
LE1J	Jawor
KA1J	Jaworzno
JG1J	Jelenia Góra
KI1J	Jędrzejów
KZ1A	Kalisz
